"table_name","column_name","data_type","is_nullable"
"customers","customer_id","integer","NO"
"customers","first_name","character varying","NO"
"customers","last_name","character varying","NO"
"customers","email","character varying","NO"
"customers","phone","character varying","YES"
"customers","registration_date","date","NO"
"customers","city","character varying","YES"
"customers","state","character varying","YES"
"customers","country","character varying","YES"
"order_items","order_item_id","integer","NO"
"order_items","order_id","integer","YES"
"order_items","product_id","integer","YES"
"order_items","quantity","integer","NO"
"order_items","unit_price","numeric","NO"
"order_items","total_price","numeric","NO"
"orders","order_id","integer","NO"
"orders","customer_id","integer","YES"
"orders","order_date","date","NO"
"orders","total_amount","numeric","NO"
"orders","status","character varying","YES"
"orders","shipping_address","text","YES"
"orders","payment_method","character varying","YES"
"products","product_id","integer","NO"
"products","product_name","character varying","NO"
"products","category","character varying","NO"
"products","brand","character varying","YES"
"products","unit_price","numeric","NO"
"products","cost_price","numeric","NO"
"products","stock_quantity","integer","NO"
"products","created_date","date","NO"
